year,SSH_RCP45,SSH_corrected
2006,0.677,0.963
2007,0.702,0.988
2008,0.669,0.955
2009,0.721,1.007
2010,0.791,1.077
2011,0.781,1.066
2012,0.774,1.060
2013,0.739,1.025
2014,0.734,1.020
2015,0.776,1.062
2016,0.823,1.109
2017,0.841,1.127
2018,0.827,1.112
2019,0.807,1.093
2020,0.787,1.073
2021,0.807,1.093
2022,0.877,1.162
2023,0.827,1.113
2024,0.824,1.110
2025,0.847,1.133
2026,0.888,1.174
2027,0.924,1.210
2028,0.903,1.189
2029,0.888,1.173
2030,0.858,1.144
2031,0.869,1.154
2032,0.925,1.211
2033,0.993,1.279
2034,0.964,1.250
2035,0.957,1.243
2036,0.927,1.212
2037,0.914,1.200
2038,0.967,1.253
2039,1.033,1.319
2040,1.025,1.311
